row,table,measure_name,data_type,expression,format,hidden,is_multiline,needs_review
18,callcenterdata,A1,Integer,SUM(callcenterdata[totalcalls]),,False,False,
19,callcenterdata,A10,Integer,SUM(handlebyarea[receivedbysatellite]),,False,False,
20,callcenterdata,A11,Integer,SUM(handlebyarea[transfertosatellite] ),,False,False,
21,callcenterdata,A12,Integer,SUM(handlebyarea[nolongerneededcalls]),,False,False,
22,callcenterdata,A13,Integer,SUM(handlebyarea[othertransfer]),,False,False,
23,callcenterdata,A15,Number,AVERAGE(callcenterdata[averagecallsperday] ),,False,False,
24,callcenterdata,A2,Integer,SUM(callcenterdata[callsreceived]),,False,False,
25,callcenterdata,A3,Integer,SUM(callcenterdata[callswithcontent]),,False,False,
26,callcenterdata,A5,Integer,SUM(callcenterdata[callswithemergencysignstotal]),,False,False,
27,callcenterdata,A6,Integer,SUM(callcenterdata[callswithemergencysignstotal]),,False,False,
28,callcenterdata,A7,Integer,"CALCULATE(
    SUM('callcenterdata_stationtransfer'[transferCount]),
    'callcenterdata_stationtransfer'[station_id] = 1
) False",,,True,multiline_export
33,callcenterdata,A8,Integer,SUM(outofhospitalreport[hospitaltransfer]),,False,False,
34,callcenterdata,A9,Integer,SUM(handlebyarea[transfertohospitalpatient]),,False,False,
35,callcenterdata,Cấp cứu/tiếp nhận,Number,[A5]/[A2] ,,False,False,unsafe_division_check
36,callcenterdata,CS 1,Integer,[A1],,False,False,
37,callcenterdata,CS 10,Number,[A5]/[A5] ,,False,False,unsafe_division_check
38,callcenterdata,CS 11_BB,Number,"CALCULATE(
    AVERAGE(KCCNBV[TgngheDT]),
    REMOVEFILTERS(ListTVT[TenTram])
) False",,,True,multiline_export;filter_context_logic
43,callcenterdata,CS 11G,Number,AVERAGE(callcenterdata[averagecallsperday]),,False,False,
44,callcenterdata,CS 11P,Number,AVERAGE(KCCNBV[Tgtaophieu]),,False,False,
45,callcenterdata,CS 12,Number,AVERAGE(KCCNBV[TGTiepnhanCCTB]),,False,False,
46,callcenterdata,CS 13,Number,"(CALCULATE(
    SUM(KCCNBV[TgngheDT])
)/2)/6 False",,,True,multiline_export;unsafe_division_check
49,callcenterdata,CS 2,Number,[A2]/[A1],,False,False,unsafe_division_check
50,callcenterdata,CS 3,Number,[A3]/[A2],,False,False,unsafe_division_check
51,callcenterdata,CS 4,Number,[A5]/[A3] ,,False,False,unsafe_division_check
52,callcenterdata,CS 5,Number,[A7]/[A6],,False,False,unsafe_division_check
53,callcenterdata,CS 6,Number,[A8]/[A9],,False,False,unsafe_division_check
54,callcenterdata,CS 7,Number,[A10]/[A11],,False,False,unsafe_division_check
55,callcenterdata,CS 8,Number,[A12]/[A6],,False,False,unsafe_division_check
56,callcenterdata,CS 9,Number,[A13]/[A5],,False,False,unsafe_division_check
